연번,호선,역번호,역명,2021년1월,2021년2월,2021년3월,2021년4월,2021년5월,2021년6월,2021년7월,2021년8월,2021년9월,2021년10월,2021년11월
280,8,2827,모란(8),80746,80038,102454,102631,101209,100407,90524,87599,90587,104155,105163
281,9,4126,언주,36960,36438,44795,43464,41155,45331,41724,39565,37950,42030,47733
282,9,4127,선정릉,33464,32974,41132,40378,38720,41900,37826,35774,34638,38498,42927
283,9,4128,삼성중앙,26762,26214,32252,31294,29650,32356,28658,26644,26013,28630,32938
284,9,4129,봉은사,60394,59904,73797,69849,70923,75641,65906,65013,61546,69096,77971
285,9,4130,종합운동장(9),13254,13521,16153,16182,16594,17420,15695,14717,14693,16141,17604
286,9,4131,삼전,37692,35223,41930,40764,40658,42489,40634,40159,38310,41640,43515
287,9,4132,석촌고분,30180,28911,35433,34276,33715,35194,33331,32479,31199,33776,36101
288,9,4133,석촌(9),35708,35001,43565,42218,41234,43849,41393,40428,39253,42981,46095
289,9,4134,송파나루,29255,29698,36333,35513,35626,37774,35333,34522,33181,37195,38778
290,9,4135,한성백제,16038,15785,19503,20166,19630,20815,19177,18680,18910,21295,22422
291,9,4136,올림픽공원(9),25086,25415,32778,34153,34081,35984,31336,29816,31000,37085,37557
292,9,4137,둔촌오륜,6803,6643,10090,9683,9245,10093,9007,8550,9186,9806,9656
293,9,4138,중앙보훈병원,38384,37791,49833,49450,47972,51370,46597,46009,46495,50381,52584
